Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
05-10-2020,EQ,769.6,770,741.1,747.1,748,749.45,753.21,770,62.6,581245,437799139.2,26573
06-10-2020,EQ,749.5,752,725,749.45,732.9,735.9,735.11,770,62.6,558621,410645799.7,23113
07-10-2020,EQ,720,730,699.15,735.9,699.15,699.3,705.96,770,62.6,1041858,735508674.3,32400
08-10-2020,EQ,698.5,725,666.6,699.3,695.8,696.15,703.8,770,62.6,733819,516460396.3,31023
09-10-2020,EQ,695.8,713,680.1,696.15,682.35,683.95,693.2,770,62.6,511600,354642444.9,22856
12-10-2020,EQ,683.95,702,660,683.95,671,671.55,674.98,770,72.2,625309,422073585.7,24155
13-10-2020,EQ,671,705.1,661.1,671.55,705.1,705.1,697.55,770,72.2,1069869,746287783.7,26177
14-10-2020,EQ,719,735,705.1,705.1,730.7,725.45,724.03,770,72.2,1229478,890178187.3,35937
15-10-2020,EQ,730.7,735.8,698.05,725.45,703.7,704.25,718.47,770,72.2,736697,529291508.4,30283
16-10-2020,EQ,710,718.95,700,704.25,705,705.35,707.08,770,72.2,277648,196318953.7,14263
19-10-2020,EQ,711.2,717.95,695,705.35,701.5,702.8,707.34,770,83.6,312983,221385041.3,13937
20-10-2020,EQ,694.95,707.6,685,702.8,689.9,688.7,695.03,770,83.6,261009,181407945.4,12491
21-10-2020,EQ,690,713.9,678,688.7,694.85,692.35,697.38,770,83.6,335318,233845089.6,14955
22-10-2020,EQ,685.5,726.95,685,692.35,726.95,726.95,714.61,770,83.6,864975,618123215.9,31163
23-10-2020,EQ,734.8,734.8,712.2,726.95,718,720.3,721.99,770,83.6,665517,480498101.4,23808
26-10-2020,EQ,720,722.8,701.1,720.3,705.5,704.7,708.58,770,83.6,271180,192153046.6,13245
27-10-2020,EQ,720.05,739.9,717.05,704.7,739.9,739.9,736.46,770,83.6,930072,684956639.5,22550
28-10-2020,EQ,776.85,776.85,776.8,739.9,776.85,776.85,776.85,776.85,83.6,1869868,1452602705,7140
29-10-2020,EQ,755,815.65,755,776.85,815.65,815.65,800,815.65,83.6,962443,769956709.3,14771
30-10-2020,EQ,834,856.4,831.25,815.65,856.4,856.4,855.17,856.4,83.6,2053376,1755986571,21990
02-11-2020,EQ,860,899.2,835.15,856.4,859,859.2,877.93,899.2,83.6,2583066,2267741366,96607
03-11-2020,EQ,881,893.95,816.25,859.2,834.4,830.4,844.88,899.2,83.6,1612967,1362768142,61771
04-11-2020,EQ,834.4,862.7,823,830.4,840.4,840.9,840.52,899.2,83.6,1373310,1154292111,59497
05-11-2020,EQ,812.5,868,812,840.9,854,854.6,849.13,899.2,83.6,1581863,1343211679,37159
06-11-2020,EQ,855,875,855,854.6,857,860,861.1,899.2,83.6,911015,784470919.8,36410
09-11-2020,EQ,879,903,866.1,860,903,899.35,883.8,903,85.2,1670461,1476348457,30987
10-11-2020,EQ,914.95,919,854.4,899.35,854.4,854.85,883.49,919,85.2,1327147,1172523510,52123
11-11-2020,EQ,868,897.55,865.1,854.85,897.55,897.55,895.92,919,85.2,2287847,2049725332,18985
12-11-2020,EQ,914,942.4,903.1,897.55,941,942.35,940.9,942.4,85.2,3622736,3408619899,37065
13-11-2020,EQ,949,989.45,943,942.35,989,989.35,985.69,989.45,85.2,4566982,4501651086,51633
14-11-2020,EQ,1018,1023.6,990.05,989.35,1006,1008.6,1009.53,1023.6,85.2,578986,584504392.9,22865
17-11-2020,EQ,1028.95,1059,1021.05,1008.6,1059,1058.45,1054.04,1059,92,5333462,5621657594,61286
18-11-2020,EQ,1068.7,1098,1032.05,1058.45,1076,1080.95,1078.02,1098,92,3999840,4311890581,75842
19-11-2020,EQ,1080.95,1089.9,1050,1080.95,1083,1083.5,1065.01,1098,92,3533747,3763477623,62769
20-11-2020,EQ,1051,1137.65,1050,1083.5,1137.5,1134.55,1108.53,1137.65,92,5044065,5591477312,83358
23-11-2020,EQ,1155,1191.25,1150.1,1134.55,1175,1180.3,1165.87,1191.25,106.7,3863685,4504555501,78025
24-11-2020,EQ,1203.4,1220,1180,1180.3,1200,1205.15,1199.79,1220,106.7,4004468,4804510379,70599
25-11-2020,EQ,1205.15,1205.15,1144.9,1205.15,1144.9,1144.9,1152.1,1220,106.7,301443,347291841.2,12766
26-11-2020,EQ,1087.7,1143.85,1087.7,1144.9,1100.05,1104.45,1099.99,1220,106.7,3205678,3526199439,99342
27-11-2020,EQ,1105,1159.65,1072.8,1104.45,1078,1136.4,1140.64,1220,106.7,45148093,51497495288,164105
01-12-2020,EQ,1133.9,1156,1082.35,1136.4,1133,1134.7,1131.12,1220,111.9,2599117,2939907570,63366
02-12-2020,EQ,1140,1155,1112,1134.7,1145,1146,1132.28,1220,111.9,875255,991032569.3,37719
03-12-2020,EQ,1154,1159.9,1140.1,1146,1145,1145,1146.87,1220,111.9,592144,679109871,25342
04-12-2020,EQ,1150,1159,1125,1145,1129.5,1129.75,1132.88,1220,111.9,741720,840278479.3,34134
07-12-2020,EQ,1135,1140,1073.3,1129.75,1101,1106.25,1100.9,1220,111.9,1351024,1487345092,61378
08-12-2020,EQ,1109,1123.1,1088,1106.25,1097,1098.65,1101.6,1220,111.9,998344,1099771844,59846
09-12-2020,EQ,1100,1110,1050,1098.65,1079,1070.1,1080.64,1220,111.9,1080870,1168026025,44005
10-12-2020,EQ,1064.7,1067,1030,1070.1,1034.9,1036.7,1037.9,1220,111.9,568627,590175732.1,44972
11-12-2020,EQ,990.05,1057,985,1036.7,1038.15,1041.5,1014.96,1220,111.9,1793445,1820275569,88624
14-12-2020,EQ,1019,1028.1,995.1,1041.5,1009,1010.8,1011.41,1220,111.9,921358,931872915.2,39961
15-12-2020,EQ,1009,1020,1000.25,1010.8,1013,1013.65,1010.01,1220,111.9,754880,762439135.2,31901
16-12-2020,EQ,1019.75,1029.9,1011.1,1013.65,1011.5,1019.4,1020.37,1220,111.9,451443,460637756.9,31475
17-12-2020,EQ,1023.9,1059.4,1013.75,1019.4,1043.1,1041.55,1039.27,1220,111.9,686579,713542109.9,40907
18-12-2020,EQ,1058.4,1058.4,1001,1041.55,1005,1016.15,1022.22,1220,111.9,1037435,1060486690,37318
21-12-2020,EQ,1004.8,1040,971,1016.15,1004.2,1020.3,1008.24,1220,111.9,999121,1007352948,39038
22-12-2020,EQ,992,1040,976,1020.3,1022.2,1029.9,1011.73,1220,111.9,637121,644592025.6,30928
23-12-2020,EQ,1035,1050,1012.1,1029.9,1048,1044.95,1038.49,1220,111.9,684864,711225969.6,27342
24-12-2020,EQ,1058,1059,1021,1044.95,1032,1036.2,1035.88,1220,111.9,406594,421183426.7,19350
28-12-2020,EQ,1036.2,1044.85,1025.65,1036.2,1035,1038,1032.77,1220,111.9,425292,439227633.6,18184
29-12-2020,EQ,1040,1047.25,1026,1038,1041,1038.7,1034.04,1220,111.9,349607,361508887.7,17347
30-12-2020,EQ,1039.9,1060,1028,1038.7,1054,1052.95,1044.76,1220,111.9,374589,391356214.7,20605
31-12-2020,EQ,1070,1090,1041,1052.95,1049,1052.6,1066.81,1220,111.9,980110,1045591505,46631
01-01-2021,EQ,1079.9,1079.9,1053.05,1052.6,1064.45,1065.95,1065.26,1220,111.9,297560,316977946.5,11137
04-01-2021,EQ,1088.4,1090,1071.2,1065.95,1080.1,1082.25,1079.06,1220,111.9,360776,389299219.8,24807
05-01-2021,EQ,1070.2,1106.9,1065,1082.25,1092.1,1096.45,1086.98,1220,111.9,526896,572723136.9,23766
06-01-2021,EQ,1100,1111,1080,1096.45,1107.7,1107.25,1102.57,1220,111.9,427847,471732591.1,22661
07-01-2021,EQ,1113.7,1114,1051.9,1107.25,1051.9,1063.1,1091.78,1220,111.9,1285732,1403742127,35651
08-01-2021,EQ,1071,1076,1009.95,1063.1,1014.95,1014.9,1022.2,1220,111.9,1646213,1682758971,48326
11-01-2021,EQ,1020.95,1025.95,964.2,1014.9,969.2,968.3,976.94,1220,111.9,1303510,1273448251,56355
12-01-2021,EQ,980,990.2,921,968.3,925,924.15,946.08,1220,111.9,1578700,1493577517,75564
13-01-2021,EQ,930,935.4,900.1,924.15,919.05,922.15,916.55,1220,111.9,985028,902826768.1,42391
14-01-2021,EQ,925.95,968.25,925.05,922.15,968.25,968.25,948.7,1220,111.9,1514658,1436960060,45114
